Color,Rmin,Rmax,Gmin,Gmax,Bmin,Bmax,rMin,rMax,gMin,gMax,bMin,bMax
Gray7Brown8Pink1,159,161,115,117,95,99,0.424,0.434,0.31,0.312,0.256,0.264
Gray7Brown7Pink1,161,168,117,122,95,105,0.422,0.432,0.31,0.314,0.254,0.267
Gray7Brown6Pink1,175,177,130,132,109,111,0.412,0.423,0.314,0.314,0.263,0.264
Gray15,163,167,149,154,148,153,0.352,0.354,0.322,0.328,0.319,0.324
Gray10,177,183,190,199,204,212,0.306,0.31,0.332,0.34,0.351,0.358
Gray12,171,180,181,190,188,199,0.309,0.319,0.332,0.339,0.344,0.356
Gray9,186,197,203,210,215,224,0.303,0.315,0.335,0.338,0.347,0.361
Gray12,192,198,191,196,191,196,0.334,0.336,0.332,0.333,0.332,0.333
Gray11,193,199,182,188,199,205,0.336,0.336,0.317,0.318,0.346,0.347
Gray12,202,203,188,191,177,183,0.351,0.356,0.331,0.332,0.312,0.317
Gray12,190,193,172,173,164,173,0.359,0.361,0.32,0.327,0.312,0.322
Gray13,155,163,162,169,174,186,0.314,0.32,0.326,0.331,0.352,0.359
Gray14,166,169,170,179,177,187,0.3316,0.324,0.33,0.335,0.345,0.35
Gray16,146,153,146,156,149,159,0.327,0.333,0.331,0.336,0.334,0.34
Gray15,164,168,157,163,157,165,0.339,0.344,0.326,0.331,0.327,0.333
Gray14,168,174,158,164,146,152,0.355,0.356,0.335,0.335,0.309,0.31
Gray12,189,194,176,183,167,176,0.35,0.355,0.328,0.334,0.313,0.319
Gray17,141,143,132,134,115,117,0.363,0.363,0.34,0.34,0.296,0.297
Gray17,143,147,138,141,132,135,0.345,0.348,0.333,0.334,0.319,0.321
